,percentage,n_eval,returns
0,0.0,0,"[-6.583633899688721, -6.583633899688721, -16.229345321655273, -0.5089588761329651, -0.10384806990623474, -0.10384806990623474, -9.857027053833008, -2.969233751296997, -2.604146957397461, -2.969233751296997, -2.969233751296997, -2.969233751296997, -2.969233751296997, -2.969233751296997, -2.969233751296997, -1.4466207027435303, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
1,0.0,1,"[-37.131019592285156, -2.4076175689697266, -37.131019592285156, 1.0000004768371582, 2.5745038986206055, 3.732433557510376, 3.732433557510376, 4.67356014251709, 5.000001907348633, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
2,0.0,2,"[-6.583633899688721, -6.583633899688721, -16.229345321655273, -6.583633899688721, -7.065478801727295, -16.614730834960938, -1.4583362340927124, -37.131019592285156, -7.065478801727295, -0.7054882645606995, -1.0895617008209229, -0.7054882645606995, -0.7054882645606995, -1.0895617008209229, -37.131019592285156, -0.7054882645606995, -0.7054882645606995, -0.5089588761329651, -0.5089588761329651, -0.5089588761329651]"
3,0.0,3,"[-6.583633899688721, -0.6885020136833191, -37.131019592285156, -3.5252339839935303, -9.403379440307617, -0.10384806990623474, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
4,0.1,0,"[-6.583633899688721, -1.840328574180603, -37.131019592285156, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
5,0.1,1,"[-37.131019592285156, -2.4076175689697266, -6.583633899688721, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 4.559012413024902, 4.559012413024902, 4.559012413024902, 4.559012413024902]"
6,0.1,2,"[-6.583633899688721, -1.267309308052063, -0.10384806990623474, 1.262822151184082, 1.755361557006836, 2.0548722743988037, -37.131019592285156, -37.131019592285156, 1.262822151184082, 1.262822151184082, 1.262822151184082, 1.262822151184082, 1.262822151184082, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
7,0.1,3,"[-37.131019592285156, -1.267309308052063, -37.131019592285156, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 4.784363746643066, 4.784363746643066, 4.784363746643066, 4.784363746643066]"
8,0.2,0,"[-37.131019592285156, -0.6885020136833191, -37.131019592285156, -1.840328574180603, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -6.583633899688721, -6.583633899688721, -8.482294082641602, -8.482294082641602, -6.583633899688721, -6.583633899688721, -8.482294082641602, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
9,0.2,1,"[-6.583633899688721, -0.6885020136833191, -0.10384806990623474, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 4.543482780456543, 4.543482780456543, 4.761300086975098, 4.761300086975098]"
10,0.2,2,"[-37.131019592285156, -1.267309308052063, -37.131019592285156, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 4.551325798034668, 4.551325798034668, 4.551325798034668, 4.551325798034668]"
11,0.2,3,"[-37.131019592285156, -2.969233751296997, -37.131019592285156, -1.840328574180603, -37.131019592285156, -6.583633899688721, -6.583633899688721, -14.458776473999023, -14.30206298828125, -14.458776473999023, -14.458776473999023, -1.267309308052063, -14.852280616760254, -16.12899398803711, -1.267309308052063, -0.5089588761329651, -0.5089588761329651, -0.5089588761329651, -0.5089588761329651, 5.000001907348633]"
12,0.3,0,"[-37.131019592285156, -6.583633899688721, -37.131019592285156, -37.131019592285156, -37.131019592285156, -1.4583362340927124, -0.6885020136833191, -0.6885020136833191, -5.160096168518066, -5.160096168518066, -5.160096168518066, -5.160096168518066, -5.160096168518066, -5.160096168518066, -5.160096168518066, -5.160096168518066, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
13,0.3,1,"[-37.131019592285156, -37.131019592285156, -1.840328574180603, -8.014760971069336, -8.472990036010742, -9.857027053833008, -9.857027053833008, -8.444509506225586, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
14,0.3,2,"[-0.10384806990623474, -37.131019592285156, -0.6885020136833191, -16.986772537231445, -7.542504787445068, -7.05588960647583, -8.354663848876953, -10.297199249267578, -10.73297119140625, -9.348651885986328, -7.019405841827393, -7.019405841827393, -7.019405841827393, -7.4338202476501465, -7.019405841827393, -6.583633899688721, -6.583633899688721, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
15,0.3,3,"[-37.131019592285156, -6.583633899688721, -16.986772537231445, -8.014760971069336, -9.403379440307617, -8.945150375366211, -8.482294082641602, -8.482294082641602, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -6.583633899688721, -6.583633899688721, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
16,0.4,0,"[-37.131019592285156, -37.131019592285156, -37.131019592285156, -2.969233751296997, -9.385324478149414, -9.385324478149414, -8.945150375366211, -2.4076175689697266, -37.131019592285156, -16.986772537231445, -17.56401252746582, -17.56401252746582, -17.56401252746582, -17.56401252746582, -17.56401252746582, -6.583633899688721, -1.2719206809997559, -1.2719206809997559, -1.2719206809997559, -0.7054882645606995]"
17,0.4,1,"[-6.583633899688721, -0.6885020136833191, -6.583633899688721, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 4.5104875564575195, 4.5104875564575195, 4.5104875564575195, 4.5104875564575195]"
18,0.4,2,"[-37.131019592285156, -37.131019592285156, -6.583633899688721, -7.046492099761963, -7.046492099761963, -16.046607971191406, -0.308439165353775, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -0.308439165353775, -0.308439165353775, -0.308439165353775, -0.308439165353775, -0.308439165353775]"
19,0.4,3,"[-7.065478801727295, -1.840328574180603, -37.131019592285156, -7.065478801727295, -7.065478801727295, -8.482294082641602, -8.482294082641602, -35.30717468261719, -14.798626899719238, -14.798626899719238, -14.798626899719238, -14.798626899719238, -14.798626899719238, 5.000001907348633, 5.000001907348633, 2.289360523223877, 4.4351043701171875, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
20,0.5,0,"[-37.131019592285156, -1.267309308052063, -6.583633899688721, -0.6885020136833191, -3.5252339839935303, -5.160096168518066, -37.131019592285156, -7.26462984085083, -7.26462984085083, -7.26462984085083, -5.160096168518066, -7.777676105499268, -7.26462984085083, -7.26462984085083, -7.26462984085083, -7.26462984085083, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
