,percentage,n_eval,returns
21,0.5,1,"[-0.6885020136833191, -0.6885020136833191, -7.065478801727295, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 4.784363746643066, 4.784363746643066, 4.784363746643066, 4.784363746643066]"
22,0.5,2,"[-6.583633899688721, -37.131019592285156, -37.131019592285156, -1.840328574180603, -8.014760971069336, -2.969233751296997, -2.969233751296997, -37.131019592285156, -1.840328574180603, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -1.840328574180603, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
23,0.5,3,"[-6.583633899688721, -2.4076175689697266, -6.583633899688721, 1.0000004768371582, 1.0000004768371582, 1.2457380294799805, -7.26462984085083, 1.2457380294799805, 1.2457380294799805, 1.2457380294799805, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 4.776829719543457, 4.776829719543457, 4.776829719543457, 4.776829719543457]"
24,0.6,0,"[-6.583633899688721, -37.131019592285156, -0.308439165353775, -2.969233751296997, -9.857027053833008, -4.075674057006836, -3.1452832221984863, -17.56401252746582, -17.56401252746582, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -6.583633899688721, -1.0868921279907227, -1.0868921279907227, -1.0868921279907227, -1.0868921279907227]"
25,0.6,1,"[-6.583633899688721, 1.262822151184082, -0.10384806990623474, 1.0000004768371582, 2.583263397216797, 2.8479480743408203, 4.039807319641113, 5.000001907348633, 5.000001907348633, 2.8479480743408203, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
26,0.6,2,"[-16.986772537231445, -37.131019592285156, -0.6885020136833191, -16.614730834960938, -6.583633899688721, -14.861870765686035, -14.861870765686035, -14.861870765686035, -6.583633899688721, -16.037395477294922, -16.037395477294922, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -0.10384806990623474, -0.10384806990623474]"
27,0.6,3,"[-7.065478801727295, -0.6885020136833191, -6.583633899688721, -6.583633899688721, -15.317376136779785, -13.650422096252441, -15.370137214660645, -7.4338202476501465, -7.019405841827393, -7.019405841827393, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
28,0.7,0,"[-6.583633899688721, 1.0000004768371582, 2.3752379417419434, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, -6.583633899688721, -6.583633899688721, -6.583633899688721, 4.0781660079956055]"
29,0.7,1,"[-37.131019592285156, -37.131019592285156, -0.6885020136833191, -0.6885020136833191, -37.131019592285156, -2.969233751296997, -2.604146957397461, -8.482294082641602, -8.482294082641602, -7.065478801727295, -16.986772537231445, -16.986772537231445, 3.8418896198272705, -4.620609760284424, 2.0192999839782715, 2.289360523223877, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
30,0.7,2,"[-16.60514259338379, -37.131019592285156, -16.986772537231445, -7.065478801727295, -37.131019592285156, -37.131019592285156, -1.840328574180603, -1.840328574180603, -17.936054229736328, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
31,0.7,3,"[-37.131019592285156, -1.267309308052063, -37.131019592285156, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, -6.583633899688721, 4.543482780456543, 4.543482780456543, 4.543482780456543]"
32,0.8,0,"[-37.131019592285156, -37.131019592285156, -0.6885020136833191, -16.986772537231445, -15.729580879211426, -16.1195011138916, -16.986772537231445, -1.840328574180603, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -37.131019592285156, -0.7054882645606995, -0.7054882645606995, -0.7054882645606995, -0.7054882645606995, -0.7054882645606995]"
33,0.8,1,"[-37.131019592285156, -6.583633899688721, -0.10384806990623474, -16.037395477294922, -8.482294082641602, -9.857027053833008, -17.936054229736328, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
34,0.8,2,"[-6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.583633899688721, -6.9939045906066895, -6.9939045906066895, -6.583633899688721, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474, -0.10384806990623474]"
35,0.8,3,"[-6.583633899688721, -0.10384806990623474, -0.10384806990623474, 1.0000004768371582, 1.825361728668213, 3.431351661682129, 3.431351661682129, 4.67356014251709, 5.000001907348633, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
36,0.9,0,"[-6.583633899688721, 5.000001907348633, -0.10384806990623474, 1.755361557006836, 1.755361557006836, 2.289360523223877, 1.755361557006836, 1.755361557006836, 1.755361557006836, 1.2457380294799805, 1.2457380294799805, 1.2457380294799805, 1.2457380294799805, 1.2457380294799805, 1.2457380294799805, 1.2457380294799805, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
37,0.9,1,"[-37.131019592285156, -0.10384806990623474, -17.188215255737305, 1.0000004768371582, 2.054163932800293, 2.5655665397644043, 3.431351661682129, 4.67356014251709, 5.000001907348633, 1.755361557006836, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 5.000001907348633, 5.000001907348633, 5.000001907348633, 5.000001907348633]"
38,0.9,2,"[-37.131019592285156, -6.583633899688721, -0.6885020136833191, -7.065478801727295, -17.178722381591797, -17.197612762451172, -37.131019592285156, -1.267309308052063, -1.267309308052063, -37.131019592285156, -37.131019592285156, -37.131019592285156, -0.6885020136833191, -0.6885020136833191, -1.267309308052063, -0.308439165353775, -0.308439165353775, -0.308439165353775, -0.308439165353775, -0.308439165353775]"
39,0.9,3,"[-6.583633899688721, 1.0000004768371582, -6.583633899688721, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, 1.0000004768371582, -6.583633899688721, 4.291925430297852, 4.291925430297852, 4.291925430297852]"
