,percentage,n_eval,mean_return
0,0.0,0,0.0
1,0.0,1,2.7775548934936523
2,0.0,2,0.0
3,0.0,3,0.9227447509765625
4,0.0,4,0.0
5,0.1,0,4.66089563369751
6,0.1,1,3.7570755958557127
7,0.1,2,1.8642250061035157
8,0.1,3,0.0
9,0.1,4,1.8926613807678223
10,0.2,0,7.485336399078369
11,0.2,1,8.483309173583985
12,0.2,2,8.416928100585938
13,0.2,3,7.532128047943115
14,0.2,4,8.49272403717041
15,0.3,0,6.506385135650635
16,0.3,1,8.502710914611816
17,0.3,2,7.551529788970948
18,0.3,3,6.53444128036499
19,0.3,4,8.436612510681153
20,0.4,0,7.570645523071289
21,0.4,1,8.493958950042725
22,0.4,2,8.455822467803955
23,0.4,3,8.531241512298584
24,0.4,4,8.531241512298584
25,0.5,0,7.589570236206055
26,0.5,1,8.484353065490723
27,0.5,2,8.531810188293457
28,0.5,3,7.570454502105713
29,0.5,4,7.56160831451416
30,0.6,0,7.571214199066162
31,0.6,1,7.5520984649658205
32,0.6,2,8.560055541992188
33,0.6,3,8.531810188293457
34,0.6,4,7.571214199066162
35,0.7,0,7.609065437316895
36,0.7,1,8.541130828857423
37,0.7,2,7.599459552764893
38,0.7,3,7.675162029266358
39,0.7,4,7.609065437316895
40,0.8,0,8.607512664794921
41,0.8,1,8.607512664794921
42,0.8,2,7.646916675567627
43,0.8,3,7.646916675567627
44,0.8,4,8.569376182556152
45,0.9,0,7.6847679138183596
46,0.9,1,7.6847679138183596
47,0.9,2,8.645363903045654
48,0.9,3,7.665652179718018
49,0.9,4,8.616833305358886
