,percentage,n_eval,mean_return
0,0.0,0,0.0
1,0.0,1,0.0
2,0.0,2,0.0
3,0.0,3,0.0
4,0.0,4,0.0
5,0.1,0,0.9605959892272949
6,0.1,1,0.0
7,0.1,2,0.0
8,0.1,3,0.0
9,0.1,4,0.0
10,0.2,0,5.658868408203125
11,0.2,1,3.7566011428833006
12,0.2,2,3.823172187805176
13,0.2,3,1.911586093902588
14,0.2,4,5.6871129989624025
15,0.3,0,8.549785232543945
16,0.3,1,7.541923904418946
17,0.3,2,8.530764484405518
18,0.3,3,7.53250904083252
19,0.3,4,8.48349838256836
20,0.4,0,8.531241512298584
21,0.4,1,8.531241512298584
22,0.4,2,8.512125778198243
23,0.4,3,7.570645523071289
24,0.4,4,8.54065637588501
25,0.5,0,8.559772109985351
26,0.5,1,7.570645523071289
27,0.5,2,7.599176120758057
28,0.5,3,7.570645523071289
29,0.5,4,7.599176120758057
30,0.6,0,7.608590984344483
31,0.6,1,8.531810188293457
32,0.6,2,8.52201509475708
33,0.6,3,8.56966142654419
34,0.6,4,7.589949703216552
35,0.7,0,8.569376182556152
36,0.7,1,7.609065437316895
37,0.7,2,8.540939807891846
38,0.7,3,8.56966142654419
39,0.7,4,7.675162029266358
40,0.8,0,7.646916675567627
41,0.8,1,7.646916675567627
42,0.8,2,7.675162029266358
43,0.8,3,7.646916675567627
44,0.8,4,7.646916675567627
45,0.9,0,7.675162029266358
46,0.9,1,9.60595989227295
47,0.9,2,8.616833305358886
48,0.9,3,9.56782341003418
49,0.9,4,8.645363903045654
