,percentage,n_eval,mean_return
0,0.0,0,1.7838533639907836
1,0.0,1,3.8905590534210206
2,0.0,2,1.7838533639907836
3,0.0,3,1.229132890701294
4,0.0,4,3.8905590534210206
5,0.1,0,3.8274234771728515
6,0.1,1,-0.22235660552978515
7,0.1,2,4.045279526710511
8,0.1,3,-4.620578575134277
9,0.1,4,3.5179656505584718
10,0.2,0,-1.1228523254394531
11,0.2,1,3.4274234771728516
12,0.2,2,1.1385738372802734
13,0.2,3,3.4274234771728516
14,0.2,4,3.2193511009216307
15,0.3,0,-4.935742044448853
16,0.3,1,-4.926798248291016
17,0.3,2,0.5838533639907837
18,0.3,3,3.6452795267105103
19,0.3,4,-4.926798248291016
20,0.4,0,2.938034915924072
21,0.4,1,3.2452795267105103
22,0.4,2,-5.420578575134277
23,0.4,3,-5.3267982482910154
24,0.4,4,3.1063255071640015
25,0.5,0,2.7483702421188356
26,0.5,1,2.903090715408325
27,0.5,2,2.5516050338745115
28,0.5,3,0.6484070062637329
29,0.5,4,2.6274234771728517
30,0.6,0,2.6998435258865356
31,0.6,1,1.711589503288269
32,0.6,2,0.134101939201355
33,0.6,3,-1.170867109298706
34,0.6,4,2.2
35,0.7,0,1.6452795267105103
36,0.7,1,-0.8109760046005249
37,0.7,2,-1.570867109298706
38,0.7,3,-1.170867109298706
39,0.7,4,1.6452795267105103
40,0.8,0,-7.22695472240448
41,0.8,1,-1.4352498769760131
42,0.8,2,-0.8614261627197266
43,0.8,3,0.9451230525970459
44,0.8,4,-7.118435168266297
45,0.9,0,-1.2614261627197265
46,0.9,1,-3.4683307647705077
47,0.9,2,1.4
48,0.9,3,1.0
49,0.9,4,-1.2614261627197265
